"","Player","Points","Total_Rebounds","Assists","Steals","Blocks","Missed_Field_Goals","Missed_Free_Throws","Turnovers","Games","EFF","Salary"
"318","Paul George",1874,563,329,152,29,844,74,265,81,1.69677502838237,17120106
"319","Solomon Hill",246,166,57,37,11,115,6,33,59,1.04660077891722,1358880
"320","Jeff Green",293,91,40,18,21,153,25,24,27,0.744494489250847,9200000
"321","Lance Stephenson",204,108,60,24,3,84,9,48,43,0.637163346105589,NA
"322","Paul Pierce",417,186,71,33,17,253,12,58,68,0.648616389664542,3400000
"323","Wesley Johnson",549,248,49,89,56,307,16,54,80,1.47365593362813,1100600
"324","Anthony Brown",115,70,19,14,5,87,3,15,29,0.610443572355748,7e+05
"325","Kobe Bryant",1161,247,184,62,13,715,49,129,66,0.277093134301963,2.5e+07
"326","Metta World Peace",176,89,27,22,11,122,17,15,35,0.574337632063468,1499187
"327","James Ennis",16,7,2,4,2,9,4,2,10,0.140804116580264,845059
"328","Matt Barnes",758,420,163,78,57,429,27,121,76,1.72083808080507,3542500
"329","Justise Winslow",502,403,117,68,26,267,37,95,78,1.22032371483037,2481720
